Age,Sex,Grade,Height,Weight,fruits last 30 days,vegetables last 30 days,soft drinks last 30 days,fast food last 7 days,days active 6o mins plus 7 past days,walk or bike to school past 7 days,days went to PE each week,always hungry last 30 days ,ate fruits 2+ times per week past 30 days,ate vegetabes 3+ times per day last 30 days,drank soft drinks 1+ times per day past 30 days,ate fast food 3+ times per day last 30 days,drank soft drinks 1+ times per day last 30 days,active 60+ for more than 5 days for past 7 days,walk/bike 0 days to school last 7 days,3+ days PE each week,overweight,obese,underweight,ate 5+ fruits/vegetables 30 days,physically active all 7 days,attended PE 5+ each week,weight,stratum,psu
6,1,4,1.66,59,3,4,1,7,4,8,6,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,326.4133,201201002,3
5,1,4,1.69,60,2,7,7,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,326.4133,201201002,3
5,1,4,1.71,65,3,2,3,1,6,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,326.4133,201201002,3
6,1,4,1.73,50,4,4,3,2,7,1,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,326.4133,201201002,3
3,2,4,1.71,79,2,3,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,379.3422,201201002,3
4,2,4,1.52,47,3,3,2,2,8,8,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,379.3422,201201002,3
5,2,4,1.62,51,3,4,2,3,4,8,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,379.3422,201201002,3
5,2,4,1.6,50,2,3,1,1,4,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,379.3422,201201002,3
5,2,4,1.52,44,2,4,5,3,8,1,1,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,379.3422,201201002,3
5,2,4,1.64,59,2,4,2,6,5,6,,2,2,2,2,1,2,2,2,,2,2,2,2,2,,379.3422,201201002,3
6,2,4,1.5,43,2,2,2,3,8,8,4,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,379.3422,201201002,3
5,2,4,1.57,55,3,4,3,4,8,1,2,2,2,2,1,1,2,1,1,2,2,2,2,2,1,2,379.3422,201201002,3
6,2,4,1.67,68,2,2,2,2,8,8,3,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,379.3422,201201002,3
7,1,4,1.66,55,3,3,3,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,326.4133,201201002,3
4,2,4,1.57,44,5,6,5,2,4,4,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,379.3422,201201002,3
5,2,4,1.54,60,3,1,5,1,1,8,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,379.3422,201201002,3
4,1,4,1.72,55,3,1,3,7,3,1,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,326.4133,201201002,3
6,1,4,1.69,61,2,3,3,5,1,1,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,326.4133,201201002,3
